=== SIMULATION METRICS ===
Framework,SimulationDate,Duration(s),AvgFPS,AvgMemory(MB),AvgLatency(ms),AvgUserInteractionLatency(ms),UpdateAccuracy(%),ExpectedUpdates,ReceivedUpdates,MissedUpdates
threejs,2025-06-13T11:47:57.675Z,90.0,43,157,57,0,100,1228,1228,0

=== SIMULATION TIME-SERIES DATA ===
Timestamp,FPS,Memory (MB),Data Binding Latency (ms)
1.0,52,159,0
2.0,51,146,0
3.0,49,148,0
4.0,49,145,0
5.0,49,169,0
6.0,48,165,0
7.0,47,157,0
8.0,49,157,0
9.0,49,157,0
10.0,50,150,0
11.0,53,147,0
12.0,50,157,0
13.0,49,164,0
14.0,50,171,0
15.0,47,145,0
16.0,43,159,0
17.0,39,162,0
18.0,37,169,0
19.0,36,167,38
20.0,32,157,39
21.0,46,151,38
22.0,49,147,38
23.0,44,168,38
24.0,46,165,38
25.0,43,157,36
26.0,43,147,35
27.0,44,167,35
28.0,46,165,35
29.0,47,159,35
30.0,47,156,35
31.0,46,155,35
32.0,47,155,35
33.0,47,153,35
34.0,46,153,35
35.0,50,150,35
36.0,51,148,35
37.0,49,171,35
38.0,53,160,35
39.0,48,159,35
40.0,46,151,35
41.0,44,164,35
42.0,46,157,36
43.0,49,162,36
44.0,51,157,36
45.0,49,166,36
46.0,49,170,36
47.0,46,145,36
48.0,50,169,36
49.0,51,161,36
50.0,50,168,36
51.0,57,144,36
52.0,53,165,36
53.0,51,156,36
54.0,48,146,36
55.0,43,162,36
56.0,36,150,36
57.0,34,143,36
58.0,39,162,37
59.0,42,154,37
60.1,44,150,37
61.1,37,142,46
62.1,30,158,53
63.0,28,142,55
64.0,28,163,51
65.0,28,143,55
66.0,27,155,56
67.0,25,166,58
68.0,25,147,57
69.0,25,164,59
70.0,24,170,68
71.0,23,165,62
72.0,26,153,60
73.0,28,170,53
74.1,25,143,66
75.0,22,154,65
76.1,22,162,61
77.0,21,169,72
78.0,20,147,64
79.0,20,167,62
80.0,23,149,62
81.1,24,160,59
82.0,24,166,65
83.0,22,147,66
84.0,25,166,65
85.0,31,155,53
86.0,38,158,52
87.0,39,157,50
88.0,34,151,54
89.0,41,158,42
