=== SIMULATION METRICS ===
Framework,SimulationDate,Duration(s),AvgFPS,AvgMemory(MB),AvgLatency(ms),AvgUserInteractionLatency(ms),UpdateAccuracy(%),ExpectedUpdates,ReceivedUpdates,MissedUpdates
babylonjs,2025-06-13T11:49:44.726Z,90.0,25,198,68,0,100,1110,1110,0

=== SIMULATION TIME-SERIES DATA ===
Timestamp,FPS,Memory (MB),Data Binding Latency (ms)
1.0,31,195,0
2.0,30,189,0
3.0,30,211,0
4.0,29,203,0
5.0,28,194,0
6.0,28,213,0
7.1,26,202,0
8.0,26,194,0
9.0,27,214,0
10.0,28,204,0
11.0,29,197,0
12.0,28,190,0
13.0,28,208,0
14.0,29,201,0
15.1,28,191,0
16.1,26,208,49
17.0,24,198,49
18.0,24,189,49
19.0,23,205,48
20.0,23,193,44
21.0,24,193,44
22.0,27,211,44
23.0,27,203,44
24.0,28,195,44
25.0,27,187,43
26.0,26,192,43
27.0,28,185,44
28.0,27,205,44
29.0,27,196,44
30.0,26,187,44
31.0,26,204,44
32.0,27,196,44
33.0,27,188,44
34.0,26,205,44
35.0,27,197,44
36.0,27,189,43
37.0,25,206,42
38.0,27,198,42
39.0,28,190,42
40.0,26,206,43
41.1,24,190,49
42.0,25,208,50
43.1,26,194,50
44.0,26,186,50
45.0,27,204,50
46.0,27,190,50
47.0,27,208,50
48.0,27,199,50
49.0,28,191,50
50.0,29,209,50
51.0,29,199,50
52.0,29,190,50
53.0,29,207,50
54.0,29,185,50
55.1,29,203,50
56.0,28,193,50
57.0,26,209,50
58.0,26,199,51
59.0,25,188,50
60.0,26,205,50
61.1,25,190,53
62.0,22,203,62
63.0,20,189,59
64.1,18,202,57
65.0,18,212,62
66.1,17,192,86
67.0,16,192,87
68.0,16,203,73
69.1,15,189,79
70.0,16,199,86
71.0,16,193,69
72.1,16,205,71
73.1,17,191,67
74.1,16,203,75
75.1,16,215,82
76.0,16,196,72
77.1,16,207,63
78.1,16,194,63
79.1,16,206,74
80.1,16,186,86
81.0,17,198,85
82.1,16,211,82
83.0,17,191,82
84.0,18,204,81
85.1,18,187,73
86.0,20,202,61
87.1,21,188,67
88.0,21,202,60
89.0,23,194,60
