=== SIMULATION METRICS ===
Framework,SimulationDate,Duration(s),AvgFPS,AvgMemory(MB),AvgLatency(ms),AvgUserInteractionLatency(ms),UpdateAccuracy(%),ExpectedUpdates,ReceivedUpdates,MissedUpdates
playcanvas,2025-06-13T11:58:51.655Z,90.0,49,181,54,0,100,1399,1399,0

=== SIMULATION TIME-SERIES DATA ===
Timestamp,FPS,Memory (MB),Data Binding Latency (ms)
1.0,60,174,0
2.0,60,181,0
3.0,57,187,0
4.0,51,186,0
5.0,51,183,0
6.0,51,182,0
7.0,52,178,0
8.0,52,175,0
9.0,55,204,0
10.0,54,197,0
11.0,57,198,0
12.0,54,198,0
13.0,50,194,0
14.0,53,188,0
15.0,50,186,0
16.0,43,200,34
17.0,40,208,33
18.0,41,170,33
19.0,40,183,32
20.0,48,178,31
21.0,58,186,32
22.0,60,168,32
23.0,60,177,32
24.0,60,185,32
25.0,59,167,32
26.0,60,175,32
27.0,59,183,33
28.0,57,191,33
29.0,58,174,33
30.0,59,182,33
31.0,60,190,33
32.0,57,172,33
33.0,60,180,33
34.0,59,188,33
35.0,56,171,33
36.0,54,178,32
37.0,55,178,33
38.0,53,186,33
39.0,59,166,33
40.0,58,175,35
41.0,51,184,42
42.0,58,166,41
43.0,59,174,41
44.0,59,183,41
45.0,59,166,41
46.0,60,174,41
47.0,57,182,41
48.0,58,166,41
49.0,54,183,41
50.0,53,179,41
51.0,49,176,41
52.0,51,173,41
53.0,55,182,41
54.0,54,181,41
55.0,47,180,41
56.0,39,180,41
57.0,34,176,41
58.0,32,174,44
59.0,34,170,45
60.0,38,194,45
61.0,42,174,42
62.0,41,170,44
63.0,34,187,49
64.0,28,179,57
65.0,28,178,54
66.0,26,171,59
67.0,26,196,57
68.0,26,185,61
69.1,28,181,53
70.0,32,177,53
71.1,32,175,51
72.0,28,199,57
73.0,25,189,67
74.0,25,182,59
75.1,25,173,63
76.0,27,168,58
77.0,28,167,57
78.1,27,168,57
79.0,28,197,58
80.0,28,196,52
81.0,26,196,58
82.0,25,167,64
83.1,28,169,50
84.1,31,172,54
85.0,32,175,54
86.0,49,190,52
87.0,47,173,45
88.0,44,188,50
89.0,49,184,44
