=== SIMULATION METRICS ===
Framework,SimulationDate,Duration(s),AvgFPS,AvgMemory(MB),AvgLatency(ms),AvgUserInteractionLatency(ms),UpdateAccuracy(%),ExpectedUpdates,ReceivedUpdates,MissedUpdates
babylonjs,2025-06-13T11:44:02.100Z,90.0,26,171,63,0,100,1364,1364,0

=== SIMULATION TIME-SERIES DATA ===
Timestamp,FPS,Memory (MB),Data Binding Latency (ms)
1.1,31,186,0
2.0,31,182,0
3.0,32,173,0
4.0,31,170,0
5.0,30,164,0
6.0,31,158,0
7.0,31,181,0
8.0,31,177,0
9.0,30,167,0
10.0,30,159,0
11.0,29,181,0
12.0,29,169,0
13.0,29,162,0
14.0,30,181,0
15.0,28,174,0
16.0,26,165,46
17.1,24,183,47
18.0,25,172,47
19.0,24,162,42
20.0,24,179,40
21.0,25,168,41
22.0,27,161,41
23.0,28,180,41
24.0,29,172,41
25.0,28,165,40
26.0,27,183,40
27.0,27,174,40
28.0,27,167,40
29.0,29,159,40
30.0,28,177,40
31.0,28,163,40
32.0,28,181,40
33.0,29,174,40
34.0,29,166,40
35.0,29,158,40
36.0,27,158,40
37.0,28,177,39
38.0,30,171,39
39.0,31,165,39
40.0,30,159,40
41.1,28,178,45
42.0,27,169,46
43.0,28,162,46
44.0,30,182,46
45.0,30,176,46
46.0,30,169,46
47.0,29,162,46
48.0,29,181,46
49.0,30,174,46
50.0,31,166,46
51.0,30,159,46
52.0,30,176,46
53.0,30,170,46
54.0,32,170,46
55.0,30,164,46
56.0,27,181,46
57.0,25,170,46
58.0,24,159,50
59.0,26,174,50
60.0,27,164,50
61.0,25,181,55
62.0,22,169,60
63.0,20,181,66
64.0,19,165,55
65.0,19,179,52
66.0,18,166,64
67.0,17,178,61
68.0,17,164,68
69.0,17,177,69
70.0,17,164,62
71.0,18,176,59
72.0,17,162,58
73.1,16,174,69
74.0,16,185,68
75.1,16,159,77
76.0,16,171,60
77.0,17,184,57
78.0,17,169,68
79.0,17,181,72
80.0,17,165,68
81.0,17,179,62
82.1,17,160,65
83.1,17,172,76
84.0,17,184,78
85.0,17,168,65
86.0,20,185,55
87.0,24,172,55
88.0,24,189,58
89.0,24,175,57
