=== SIMULATION METRICS ===
Framework,SimulationDate,Duration(s),AvgFPS,AvgMemory(MB),AvgLatency(ms),AvgUserInteractionLatency(ms),UpdateAccuracy(%),ExpectedUpdates,ReceivedUpdates,MissedUpdates
playcanvas,2025-06-13T11:45:44.907Z,90.0,50,143,53,0,100,1377,1377,0

=== SIMULATION TIME-SERIES DATA ===
Timestamp,FPS,Memory (MB),Data Binding Latency (ms)
1.0,60,148,0
2.0,58,152,0
3.0,55,137,0
4.0,58,140,0
5.0,56,143,0
6.0,55,141,0
7.0,55,140,0
8.0,58,145,0
9.0,55,150,0
10.0,57,143,0
11.0,57,146,0
12.0,55,147,0
13.0,51,141,0
14.0,55,138,0
15.0,54,137,0
16.0,47,158,29
17.0,45,137,30
18.0,47,158,30
19.0,47,151,30
20.0,51,151,30
21.0,60,134,31
22.0,59,142,31
23.0,60,151,31
24.0,58,158,31
25.0,60,141,29
26.0,59,149,30
27.0,59,157,29
28.0,59,130,29
29.0,58,138,29
30.0,59,145,29
31.0,59,128,29
32.0,59,136,29
33.0,60,144,29
34.0,60,152,29
35.0,59,134,29
36.0,55,141,31
37.0,56,149,32
38.0,57,130,32
39.0,59,139,32
40.0,55,147,34
41.0,53,129,40
42.0,57,137,41
43.0,59,145,41
44.0,58,153,41
45.0,60,136,41
46.0,60,144,41
47.0,56,132,41
48.0,57,147,41
49.0,55,143,41
50.0,54,141,41
51.0,54,137,41
52.0,49,134,41
53.0,49,139,41
54.0,55,136,41
55.0,50,134,41
56.0,41,134,41
57.0,37,135,41
58.0,39,135,41
59.0,44,137,41
60.0,48,142,41
61.0,40,144,47
62.0,33,139,50
63.0,30,146,52
64.0,29,144,56
65.0,37,154,54
66.0,40,134,54
67.0,34,141,47
68.0,29,138,53
69.0,28,136,50
70.0,29,150,56
71.0,31,148,55
72.0,29,149,58
73.0,30,145,57
74.1,35,150,57
75.0,32,132,54
76.0,30,132,56
77.1,31,133,49
78.1,29,134,56
79.0,27,162,55
80.0,26,160,54
81.0,25,157,62
82.0,26,147,58
83.0,30,147,49
84.0,31,151,56
85.0,32,149,53
86.0,38,155,51
87.0,45,164,49
88.0,44,144,50
89.0,46,140,47
