=== SIMULATION METRICS ===
Framework,SimulationDate,Duration(s),AvgFPS,AvgMemory(MB),AvgLatency(ms),AvgUserInteractionLatency(ms),UpdateAccuracy(%),ExpectedUpdates,ReceivedUpdates,MissedUpdates
threejs,2025-06-13T11:53:06.929Z,90.0,43,178,55,0,100,1209,1209,0

=== SIMULATION TIME-SERIES DATA ===
Timestamp,FPS,Memory (MB),Data Binding Latency (ms)
1.0,54,214,0
2.0,55,214,0
3.0,50,209,0
4.0,52,211,0
5.0,49,208,0
6.0,49,206,0
7.0,50,204,0
8.0,49,197,0
9.0,50,200,0
10.0,54,201,0
11.0,55,197,0
12.0,51,215,0
13.0,53,203,0
14.0,55,210,0
15.0,49,214,0
16.0,38,164,35
17.0,36,165,34
18.0,38,168,34
19.0,34,170,37
20.0,34,188,36
21.0,45,181,36
22.0,47,176,36
23.0,48,168,36
24.0,45,166,36
25.0,43,184,36
26.0,42,176,36
27.0,46,168,36
28.0,49,167,36
29.0,44,165,36
30.0,45,170,36
31.0,49,169,36
32.0,48,163,36
33.0,52,168,36
34.0,49,171,36
35.0,46,162,36
36.0,45,177,36
37.0,44,169,36
38.0,53,162,36
39.0,51,161,36
40.0,46,177,34
41.0,42,161,33
42.0,43,179,33
43.0,47,182,33
44.0,47,178,33
45.0,46,180,33
46.0,42,174,33
47.0,44,173,33
48.0,47,169,33
49.0,47,179,33
50.0,49,169,33
51.0,53,158,33
52.0,50,175,33
53.0,50,165,33
54.0,49,182,33
55.0,42,172,33
56.0,36,163,33
57.0,32,178,33
58.0,30,159,35
59.0,42,182,35
60.0,50,180,35
61.0,41,166,42
62.0,32,181,51
63.0,28,181,56
64.0,28,173,56
65.0,27,182,56
66.0,24,182,67
67.0,26,164,65
68.0,28,181,56
69.0,27,166,55
70.0,26,183,58
71.1,25,162,58
72.0,24,170,62
73.1,24,178,63
74.0,25,190,59
75.1,23,163,65
76.0,21,167,68
77.0,21,170,65
78.0,24,160,62
79.0,27,177,55
80.0,27,165,53
81.0,26,186,57
82.0,24,161,60
83.0,23,169,60
84.0,23,176,65
85.0,26,187,55
86.0,34,175,48
87.0,38,174,47
88.1,38,172,46
89.0,44,183,46
